objective,correct algorithm,true,predicted algorithm,pred,equal,sape
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",28.0,"static_vbp_f<vbp_l<bw, 8> >",28.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",27.75,"static_vbp_f<vbp_l<bw, 8> >",28.0,0,0.8968609865470852
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",29.0,"static_vbp_f<vbp_l<bw, 8> >",29.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",28.916666666666668,"static_vbp_f<vbp_l<bw, 8> >",29.0,0,0.28776978417265775
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",30.0,"static_vbp_f<vbp_l<bw, 8> >",30.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",29.83333333333333,"static_vbp_f<vbp_l<bw, 8> >",30.0,0,0.5571030640668683
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",31.0,"static_vbp_f<vbp_l<bw, 8> >",31.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",30.666666666666668,"static_vbp_f<vbp_l<bw, 8> >",31.0,0,1.0810810810810771
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",32.0,"static_vbp_f<vbp_l<bw, 8> >",32.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",31.75,"static_vbp_f<vbp_l<bw, 8> >",32.0,0,0.7843137254901961
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",33.0,"static_vbp_f<vbp_l<bw, 8> >",33.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",32.75,"static_vbp_f<vbp_l<bw, 8> >",33.0,0,0.7604562737642585
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",34.0,"static_vbp_f<vbp_l<bw, 8> >",34.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",33.75,"static_vbp_f<vbp_l<bw, 8> >",34.0,0,0.7380073800738007
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",35.0,"static_vbp_f<vbp_l<bw, 8> >",35.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",34.666666666666664,"static_vbp_f<vbp_l<bw, 8> >",35.0,0,0.9569377990430691
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",36.0,"static_vbp_f<vbp_l<bw, 8> >",36.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",35.833333333333336,"static_vbp_f<vbp_l<bw, 8> >",36.0,0,0.4640371229698309
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",37.0,"static_vbp_f<vbp_l<bw, 8> >",37.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",36.833333333333336,"static_vbp_f<vbp_l<bw, 8> >",37.0,0,0.4514672686230184
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",38.0,"static_vbp_f<vbp_l<bw, 8> >",38.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",37.66666666666666,"static_vbp_f<vbp_l<bw, 8> >",38.0,0,0.8810572687224922
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",39.0,"static_vbp_f<vbp_l<bw, 8> >",39.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",38.66666666666666,"static_vbp_f<vbp_l<bw, 8> >",39.0,0,0.8583690987124708
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",40.0,"static_vbp_f<vbp_l<bw, 8> >",40.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",39.75,"static_vbp_f<vbp_l<bw, 8> >",40.0,0,0.6269592476489028
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",41.0,"static_vbp_f<vbp_l<bw, 8> >",41.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",40.833333333333336,"static_vbp_f<vbp_l<bw, 8> >",41.0,0,0.4073319755600756
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",42.0,"static_vbp_f<vbp_l<bw, 8> >",42.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",41.75,"static_vbp_f<vbp_l<bw, 8> >",42.0,0,0.5970149253731344
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",43.0,"static_vbp_f<vbp_l<bw, 8> >",43.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",42.833333333333336,group_simple_f<8>,64.75,0,40.743609604957385
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",44.0,"static_vbp_f<vbp_l<bw, 8> >",44.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",43.91666666666666,"static_vbp_f<vbp_l<bw, 8> >",44.0,0,0.1895734597156614
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",45.0,"static_vbp_f<vbp_l<bw, 8> >",45.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",44.833333333333336,"static_vbp_f<vbp_l<bw, 8> >",45.0,0,0.37105751391465147
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",46.0,"static_vbp_f<vbp_l<bw, 8> >",46.0,1,0.0
compressed size [byte],"dynamic_vbp_f<512, 64, 8>",46.0,"static_vbp_f<vbp_l<bw, 8> >",46.0,0,0.0
compressed size [byte],"static_vbp_f<vbp_l<bw, 8> >",47.0,"static_vbp_f<vbp_l<bw, 8> >",47.0,1,0.0
